Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","2.8979","-0.0007"
"","0.0200","2.8978","-0.0037"
"","0.0400","2.8977","-0.0010"
"","0.0600","2.8978","-0.0025"
"","0.0800","2.8979","-0.0030"
"","0.1000","2.8982","-0.0007"
"","0.1200","2.8986","-0.0023"
"","0.1400","2.8991","-0.0025"
"","0.1600","2.8998","-0.0006"
"","0.1800","2.9006","-0.0007"
"","0.2000","2.9017","-0.0051"
"","0.2200","2.9016","-0.0007"
"","0.2400","2.9012","-0.0020"
"","0.2600","2.9013","-0.0022"
"","0.2800","2.9016","-0.0004"
"","0.3000","2.9022","-0.0028"
"","0.3200","2.9031","0.0018"
"","0.3400","2.9051","0.0017"
"","0.3600","2.9083","0.0021"
"","0.3800","2.9118","0.0019"
"","0.4000","2.9150","0.0034"
"","0.4200","2.9177","0.0048"
"","0.4400","2.9199","0.0040"
"","0.4600","2.9218","0.0088"
"","0.4800","2.9237","0.0036"
"","0.5000","2.9256","0.0098"
"","0.5200","2.9276","0.0075"
"","0.5400","2.9296","0.0117"
"","0.5600","2.9315","0.0102"
"","0.5800","2.9335","0.0097"
"","0.6000","2.9355","0.0118"
"","0.6200","2.9374","0.0089"
"","0.6400","2.9391","0.0143"
"","0.6600","2.9408","0.0134"
"","0.6800","2.9424","0.0134"
"","0.7000","2.9439","0.0115"
"","0.7200","2.9455","0.0132"
"","0.7400","2.9470","0.0174"
"","0.7600","2.9485","0.0135"
"","0.7800","2.9499","0.0163"
"","0.8000","2.9514","0.0157"
"","0.8200","2.9529","0.0182"
"","0.8400","2.9545","0.0184"
"","0.8600","2.9561","0.0181"
"","0.8800","2.9578","0.0171"
"","0.9000","2.9596","0.0180"
"","0.9200","2.9614","0.0185"
"","0.9400","2.9633","0.0204"
"","0.9600","2.9651","0.0210"
"","0.9800","2.9670","0.0216"
"","1.0000","2.9688","0.0239"
"","1.0200","2.9705","0.0205"
"","1.0400","2.9721","0.0258"
"","1.0600","2.9737","0.0242"
"","1.0800","2.9754","0.0283"
"","1.1000","2.9770","0.0256"
"","1.1200","2.9787","0.0288"
"","1.1400","2.9803","0.0270"
"","1.1600","2.9819","0.0262"
"","1.1800","2.9835","0.0265"
"","1.2000","2.9851","0.0329"
"","1.2200","2.9867","0.0297"
"","1.2400","2.9883","0.0314"
"","1.2600","2.9899","0.0322"
"","1.2800","2.9915","0.0285"
"","1.3000","2.9930","0.0322"
"","1.3200","2.9947","0.0329"
"","1.3400","2.9964","0.0326"
"","1.3600","2.9982","0.0352"
"","1.3800","3.0000","0.0334"
"","1.4000","3.0017","0.0369"
"","1.4200","3.0035","0.0341"
"","1.4400","3.0052","0.0392"
"","1.4600","3.0069","0.0358"
"","1.4800","3.0086","0.0368"
"","1.5000","3.0103","0.0372"
"","1.5200","3.0119","0.0393"
"","1.5400","3.0135","0.0387"
"","1.5600","3.0151","0.0398"
"","1.5800","3.0167","0.0392"
"","1.6000","3.0184","0.0400"
"","1.6200","3.0200","0.0398"
"","1.6400","3.0217","0.0403"
"","1.6600","3.0233","0.0429"
"","1.6800","3.0249","0.0416"
"","1.7000","3.0266","0.0445"
"","1.7200","3.0284","0.0424"
"","1.7400","3.0302","0.0443"
"","1.7600","3.0320","0.0425"
"","1.7800","3.0338","0.0441"
"","1.8000","3.0355","0.0438"
"","1.8200","3.0371","0.0447"
"","1.8400","3.0386","0.0485"
"","1.8600","3.0402","0.0447"
"","1.8800","3.0417","0.0484"
"","1.9000","3.0433","0.0519"
"","1.9200","3.0449","0.0510"
"","1.9400","3.0464","0.0528"
"","1.9600","3.0481","0.0504"
"","1.9800","3.0497","0.0493"
"","2.0000","3.0514","0.0505"
"","2.0200","3.0530","0.0540"
"","2.0400","3.0546","0.0533"
"","2.0600","3.0562","0.0563"
"","2.0800","3.0578","0.0522"
"","2.1000","3.0595","0.0550"
"","2.1200","3.0613","0.0553"
"","2.1400","3.0632","0.0588"
"","2.1600","3.0651","0.0589"
"","2.1800","3.0670","0.0546"
"","2.2000","3.0688","0.0599"
"","2.2200","3.0705","0.0572"
"","2.2400","3.0721","0.0614"
"","2.2600","3.0737","0.0569"
"","2.2800","3.0753","0.0586"
"","2.3000","3.0768","0.0615"
"","2.3200","3.0784","0.0610"
"","2.3400","3.0800","0.0659"
"","2.3600","3.0815","0.0630"
"","2.3800","3.0830","0.0628"
"","2.4000","3.0846","0.0653"
