Results Table 1


Results Table 2


1,Time,Displacement,Force
,(s),(mm),(N)
"","0.0000","0.0911","-0.0038"
"","0.0200","0.0911","-0.0056"
"","0.0400","0.0911","-0.0028"
"","0.0600","0.0912","0.0005"
"","0.0800","0.0914","0.0001"
"","0.1000","0.0917","-0.0028"
"","0.1200","0.0922","-0.0075"
"","0.1400","0.0917","-0.0035"
"","0.1600","0.0914","-0.0009"
"","0.1800","0.0915","-0.0014"
"","0.2000","0.0918","-0.0022"
"","0.2200","0.0924","-0.0008"
"","0.2400","0.0933","-0.0007"
"","0.2600","0.0953","0.0021"
"","0.2800","0.0989","-0.0026"
"","0.3000","0.1032","0.0005"
"","0.3200","0.1069","-0.0035"
"","0.3400","0.1098","-0.0002"
"","0.3600","0.1120","-0.0011"
"","0.3800","0.1139","0.0007"
"","0.4000","0.1156","0.0004"
"","0.4200","0.1172","0.0015"
"","0.4400","0.1188","0.0034"
"","0.4600","0.1205","0.0039"
"","0.4800","0.1221","0.0027"
"","0.5000","0.1236","0.0026"
"","0.5200","0.1251","0.0012"
"","0.5400","0.1266","0.0008"
"","0.5600","0.1283","0.0019"
"","0.5800","0.1300","0.0030"
"","0.6000","0.1317","0.0037"
"","0.6200","0.1334","0.0059"
"","0.6400","0.1352","0.0033"
"","0.6600","0.1370","0.0053"
"","0.6800","0.1388","0.0034"
"","0.7000","0.1406","0.0058"
"","0.7200","0.1423","0.0042"
"","0.7400","0.1439","0.0056"
"","0.7600","0.1455","0.0067"
"","0.7800","0.1471","0.0046"
"","0.8000","0.1487","0.0063"
"","0.8200","0.1503","0.0053"
"","0.8400","0.1520","0.0063"
"","0.8600","0.1536","0.0049"
"","0.8800","0.1553","0.0079"
"","0.9000","0.1569","0.0020"
"","0.9200","0.1585","0.0051"
"","0.9400","0.1602","0.0055"
"","0.9600","0.1621","0.0088"
"","0.9800","0.1640","0.0061"
"","1.0000","0.1658","0.0106"
"","1.0200","0.1676","0.0093"
"","1.0400","0.1693","0.0067"
"","1.0600","0.1709","0.0091"
"","1.0800","0.1725","0.0092"
"","1.1000","0.1741","0.0103"
"","1.1200","0.1756","0.0094"
